tlf_id,registry_version,title,objective,population,endpoint,method,source_domains,analysis_dataset,output_file,qc_evidence
T11,0.17.0,ACTOT MMRM LS means,Estimate adjusted ACTOT change by treatment and visit,Observed longitudinal ACTOT population,ACTOT change from baseline,REML MMRM with unstructured covariance and Satterthwaite df,DM|DS|EX|QS,outputs/mmrm_analysis_dataset.csv,outputs/mmrm_lsmeans.csv,outputs/mmrm_qc.csv
T12,0.17.0,ACTOT MMRM contrasts,Compare active treatment with placebo by visit,Observed longitudinal ACTOT population,ACTOT change from baseline,Visit-specific MMRM contrasts with unstructured covariance,DM|DS|EX|QS,outputs/mmrm_analysis_dataset.csv,outputs/mmrm_treatment_contrasts.csv,outputs/mmrm_qc.csv|outputs/mmrm_cross_package_qc.csv
T13,0.17.0,ACTOT MMRM covariance sensitivity,Assess covariance-structure sensitivity,Observed longitudinal ACTOT population,ACTOT change from baseline,Unstructured versus heterogeneous AR(1) MMRM contrasts,DM|DS|EX|QS,outputs/mmrm_analysis_dataset.csv,outputs/mmrm_covariance_sensitivity.csv,outputs/mmrm_qc.csv
T14,0.17.0,MMRM model diagnostics,Report repeated-measures model fit diagnostics,Observed longitudinal ACTOT population,ACTOT change from baseline,Log likelihood AIC and BIC by covariance model,DM|DS|EX|QS,outputs/mmrm_analysis_dataset.csv,outputs/mmrm_model_diagnostics.csv,outputs/mmrm_qc.csv
T15,0.17.0,Week 24 MMRM versus ANCOVA,Compare longitudinal and Week 24-only estimates diagnostically,Observed Week 24 subjects,ACTOT change from baseline,Side-by-side MMRM and observed-case ANCOVA contrasts,DM|DS|EX|QS,outputs/mmrm_analysis_dataset.csv|outputs/ancova_analysis_subjects.csv,outputs/mmrm_vs_week24_ancova.csv,outputs/mmrm_qc.csv|outputs/qc_report.csv
T16,0.17.0,ACTOT missingness by visit,Describe observed and missing ACTOT by arm and scheduled visit,Randomised subjects with observed baseline ACTOT,ACTOT observation status,Counts percentages and discontinuation-linked decomposition,DM|DS|EX|QS,outputs/adsl_style.csv|outputs/adqs_actot_style.csv,outputs/table16_actot_missingness_by_visit.csv,outputs/estimand_review.csv
T17,0.17.0,Week 24 missingness by disposition,Describe recorded disposition context among subjects missing Week 24 ACTOT,Randomised subjects with observed baseline ACTOT and missing Week 24 ACTOT,Week 24 ACTOT missingness,Counts and percentages of missing subjects by disposition category,DM|DS|EX|QS,outputs/adsl_style.csv|outputs/adqs_actot_style.csv,outputs/table17_week24_missingness_by_disposition.csv,outputs/estimand_review.csv
T18,0.17.0,ACTOT fixed-delta MNAR sensitivity,Stress the primary Week 24 MMRM contrast under fixed location shifts for missing outcomes,Randomised subjects with observed baseline ACTOT,ACTOT Week 24 change from baseline,Fixed-delta pattern-mixture mean-shift diagnostic across three adverse scenarios,DM|DS|EX|QS,outputs/mnar_sensitivity_inputs.csv,outputs/table18_actot_delta_sensitivity.csv,outputs/mnar_sensitivity_qc.csv
T19,0.17.0,ACTOT directional tipping points,Quantify the adverse delta required for each active-versus-placebo point estimate to reach zero,Randomised subjects with observed baseline ACTOT,ACTOT Week 24 change from baseline,Analytic direction-of-effect tipping point with grid bracketing,DM|DS|EX|QS,outputs/mnar_sensitivity_inputs.csv,outputs/table19_actot_directional_tipping_points.csv,outputs/mnar_sensitivity_qc.csv
T20,0.17.0,ACTOT rbmi MAR pairwise MI,Quantify subject-level imputation uncertainty for Week 24 active-versus-placebo contrasts,Randomised subjects with observed baseline ACTOT,ACTOT Week 24 change from baseline,Approximate-Bayesian rbmi MI with Week 24 baseline-adjusted ANCOVA and Rubin pooling,DM|DS|EX|QS,outputs/adsl_style.csv|outputs/adqs_actot_style.csv,outputs/table20_rbmi_mar_pairwise.csv,outputs/rbmi_mi_qc.csv|outputs/rbmi_mcse_qc.csv|outputs/rbmi_draw_diagnostics.csv
T21,0.17.0,ACTOT rbmi delta MI sensitivity,Assess MAR departures using controlled Week 24 delta adjustments with MI uncertainty,Randomised subjects with observed baseline ACTOT,ACTOT Week 24 change from baseline,Approximate-Bayesian rbmi MI plus active and divergent delta scenarios with Rubin pooling,DM|DS|EX|QS,outputs/adsl_style.csv|outputs/adqs_actot_style.csv,outputs/table21_rbmi_delta_sensitivity.csv,outputs/rbmi_mi_qc.csv|outputs/rbmi_mcse_qc.csv|outputs/rbmi_delta_audit.csv
T22,0.17.0,ACTOT rbmi reference-based MI sensitivity,Assess treatment-discontinuation departures using MAR JR CR and CIR with a placebo reference distribution,Randomised subjects with observed baseline ACTOT,ACTOT Week 24 change from baseline,Approximate-Bayesian rbmi reference-based MI with EOSDT-aligned ICE timing Week 24 ANCOVA Rubin pooling and MCSE QC,DM|DS|EX|QS,outputs/adsl_style.csv|outputs/adqs_actot_style.csv|outputs/rbmi_reference_ice_audit.csv,outputs/table22_rbmi_reference_based.csv,outputs/estimand_review.csv|outputs/rbmi_reference_qc.csv|outputs/rbmi_reference_mcse_qc.csv|outputs/rbmi_reference_draw_diagnostics.csv
T23,0.17.0,ACTOT Week 24 multiplicity decisions,Apply the planned Bonferroni family-wise decision rule to the two primary Week 24 active-versus-placebo MMRM contrasts,Observed longitudinal ACTOT population,ACTOT Week 24 change from baseline,Bonferroni FWER 0.05 across two primary active-versus-placebo hypotheses,DM|DS|EX|QS,outputs/mmrm_analysis_dataset.csv|outputs/mmrm_treatment_contrasts.csv,outputs/table23_actot_multiplicity.csv,outputs/mmrm_qc.csv|outputs/multiplicity_qc.csv
T24,0.17.0,Study-discontinuation Kaplan-Meier retention,Describe retention without study discontinuation at prespecified days,Randomised treated subjects in the three study arms,Time from first treatment to study discontinuation,Kaplan-Meier retention estimates at days 56 112 168 and 182 with log-log 95% confidence intervals,DM|DS|EX,outputs/adtte_retention_style.csv,outputs/table24_retention_km.csv,outputs/adtte_retention_qc.csv|outputs/tte_retention_survival_qc.csv
T25,0.17.0,Study-discontinuation pairwise survival diagnostics,Compare active treatment retention with placebo exploratorily,Randomised treated subjects in the three study arms,Time from first treatment to study discontinuation,Exploratory pairwise log-rank tests and Cox proportional-hazards models with Efron ties plus cox.zph diagnostics,DM|DS|EX,outputs/adtte_retention_style.csv,outputs/table25_retention_pairwise.csv,outputs/adtte_retention_qc.csv|outputs/tte_retention_survival_qc.csv
